Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
1,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.5266463,9.991393327,1.326665826,298.3519351,19.42821845,87.725,36.20588235,64.18367347,9.991393327,9.991393327,0.000277539,1,0,0,0,0
2,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646287,9.991414571,1.326665826,298.4458635,19.42670171,87.7375,36.23529412,64.12244898,9.991414571,8.309633041,0.000508362,1,0,0,0,0
3,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646276,9.991434587,1.326665826,298.6185027,19.42527271,87.75,36.17647059,64.06122449,9.991434587,6.900341606,0.000700038,1,0,0,0,0
4,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646266,9.991453444,1.326665826,298.7581204,19.42392637,87.75625,36.15686275,64,9.991453444,7.491608145,0.000908138,1,0,0,0,0
5,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646258,9.991471211,1.326665826,298.9207212,19.42265793,87.76875,36.11764706,63.93877551,9.991471211,7.080115091,0.001104808,1,0,0,0,0
6,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664625,9.99148795,1.326665826,299.0549778,19.42146286,87.78125,36.08823529,63.89795918,9.99148795,7.587632778,0.001315576,1,0,0,0,0
7,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646244,9.99150372,1.326665826,299.2665633,19.42033693,87.7875,35.99019608,63.83673469,9.99150372,6.203079921,0.001487883,1,0,0,0,0
8,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646239,9.991518578,1.326665826,299.40332,19.41927613,87.8,35.97058824,63.7755102,9.991518578,7.542899287,0.001697408,1,0,0,0,0
9,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646235,9.991532577,1.326665826,299.5240073,19.4182767,87.8125,35.93137255,63.71428571,9.991532577,7.830634786,0.001914926,1,0,0,0,0
10,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646231,9.991545766,1.326665826,299.6469964,19.41733509,87.825,35.88235294,63.65306122,9.991545766,7.789434405,0.002131299,1,0,0,0,0
11,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646228,9.991558191,1.326665826,299.8461678,19.41644795,87.83125,35.81372549,63.59183673,9.991558191,6.425407997,0.002309783,1,0,0,0,0
12,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646225,9.991569898,1.326665826,300.0163523,19.41561213,87.84375,35.74509804,63.53061224,9.991569898,6.944428152,0.002502684,1,0,0,0,0
13,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646222,9.991580928,1.326665826,300.1267555,19.41482467,87.85625,35.70588235,63.46938776,9.991580928,8.014819239,0.002725317,1,0,0,0,0
14,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664622,9.99159132,1.326665826,300.3385481,19.41408276,87.8625,35.59803922,63.40816327,9.99159132,6.19945941,0.002897525,1,0,0,0,0
15,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646219,9.99160111,1.326665826,300.5238699,19.41338377,87.875,35.52941176,63.34693878,9.99160111,6.67342705,0.003082898,1,0,0,0,0
16,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646217,9.991610334,1.326676853,300.5969408,19.41272521,87.8875,35.53921569,63.28571429,9.991610334,8.683280904,0.0033241,1,0,0,0,0
17,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646216,9.991619025,1.326676853,300.783946,19.41210476,87.9,35.40196078,63.2244898,9.991619025,6.643303804,0.003508636,1,0,0,0,0
18,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646215,9.991627212,1.326676853,300.8767784,19.41152019,87.90625,35.38235294,63.16326531,9.991627212,8.329469486,0.00374001,1,0,0,0,0
19,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646214,9.991634926,1.326676853,301.048354,19.41096945,87.91875,35.2745098,63.10204082,9.991634926,6.91958563,0.003932221,1,0,0,0,0
20,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646213,9.991642194,1.326676853,301.1535697,19.41045056,87.93125,35.24509804,63.04081633,9.991642194,8.107762335,0.004157437,1,0,0,0,0
21,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646212,9.991649042,1.326676853,301.3184367,19.4099617,87.94375,35.1372549,62.97959184,9.991649042,7.039716767,0.004352984,1,0,0,0,0
22,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646212,9.991655493,1.326683687,301.461593,19.40950111,87.95,35.07843137,62.91836735,9.991655493,7.428451805,0.00455933,1,0,0,0,0
23,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646211,9.991661571,1.326683687,301.6076474,19.40906717,87.9625,35,62.87755102,9.991661571,7.376567602,0.004764235,1,0,0,0,0
24,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646211,9.991667297,1.326683687,301.7497184,19.40865833,87.975,34.90196078,62.81632653,9.991667297,7.447895831,0.004971121,1,0,0,0,0
25,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646211,9.991672692,1.326683687,301.837999,19.40827315,87.98125,34.85294118,62.75510204,9.991672692,8.411014632,0.00520476,1,0,0,0,0
26,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991677775,1.326683687,302.0447971,19.40791024,87.99375,34.73529412,62.69387755,9.991677775,6.288972043,0.005379454,1,0,0,0,0
27,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.52664621,9.991682564,1.326683687,302.2063888,19.40756833,88.00625,34.6372549,62.63265306,9.991682564,7.09839431,0.005576631,1,0,0,0,0
